review,Sentiment
"Building a strong income stream with little involvement from me by the end of the year & launch my platform to testers, learn how they move, optimize as much as possible, have a strong brand foundation & raise funds by early next year possibly ??",NEUTRAL
"""I am like a great tree of life, forever reaching for the sun and shedding my unproductive leaves a long the way.""â€¦ https://t.co/wZ9dXhbeSY",NEUTRAL
"RT @CandRGroup: ""Its not what we do ONCE in a WHILE that SHAPES our LIVES. Its what we do CONSISTENTLY."" @TonyRobbins

#mondaymotivation",POSITIVE
"Kelsey Clowes
Put your dispute on here perhaps they may sort it..... Absolutely ridiculous service! ",NEGATIVE
@DYWWestHighland Apprenticeships are a great way to learn about our business. Many thanks for your support.,POSITIVE
Dr. John F. Demartini on the Law of Attraction https://t.co/GIaDiQx48C,NEUTRAL
"Stop being afraid of what could go wrong, and start being excited about what could go right.  Tony Robbins",NEUTRAL
"@mandaarrr @stewdean @NotionHQ @monzo @Spotify Interesting! I've had to use both Barclays and Monzo's customer service in the last year, and the former was better. But I know folks who work at Monzo and it's a great product still",POSITIVE
"As a HSBC personal and business account holder, I am shocked at the complete lack of customer service provided by HSBC. 
After applying for BBL to try and save my small business, I am at a complete loss when thereâ€™s no information on the loan application and no timeframe is available to give me some idea of when I might hear, but donâ€™t worry HSBC can offer me a great rate if I need an overdraft. Iâ€™ve made a complaint and although Iâ€™ve received a response, it doesnâ€™t actually help in any way (as it answers a question I didnâ€™t even ask!!)
Iâ€™ve been hung up on numerous times, and as with many large companies, they seem to be hiding behind â€œit is an unprecedented situationâ€ to justify their awful service.",NEGATIVE
Pity you canâ€™t sort your mortgage department out! Absolute joke to deal with.,NEGATIVE
"I PARTNERED WITH TONY ROBBINS, DEAN GRAZIOSI AND RUSSELL BRUNSON! These are 3 people I admire the most when it come https://t.co/g91oRSrSH3",POSITIVE
Great article! Thanks for sharing,POSITIVE
"The stinko Sigapore sling: put 2/5 of Ouzo. Add 1/8 of orange juice, and 1/2 of orange bitter. Add ice. 
 Enjoy it like @travisk.
 
 Biba !",NEUTRAL
"I applied 3 months ago bounce back loan . Still no respond at all. November 4 end loan . What going on ?? 3 time this bank has said they will come back and are sorting, not one word.",NEGATIVE
Would love a complete series of your work on Netflix. Would go a long way for us all. Your work is moving and has moved a lot of people from the struggle to true belief in oneself future ??,POSITIVE
If you work your whole life and just pay your bills and your money doesnâ€™t make money for you. You are a slave to money. How to Make Money Using The Law of Fair Exchange | Dr John Demartini https://t.co/oL47KHHLD4 #Defi #LiquidityMining #cryptofarmer #Bitcoin #nft #meditation,NEUTRAL
I had the pleasure of being joined by Dr.John Demartini on a recent webinar and he bought up the term St.Corona and https://t.co/V2b27y9ri9,POSITIVE
A quality life demands quality questions. - Dr. John Demartini #quote #ThankfulThursday https://t.co/f6tRR0MT0Y,NEUTRAL
"@Mrs_DLB Hi there thanks for reaching out about this. I'd love to possibly check this out further for you. Have you received any notification in regard to your cards, or on when the lost status was placed on your card? Please feel free to provide more detail via DM - Shona https://t.co/BbmcXsMXyM",POSITIVE
"Whatâ€™s the science behind YOUR mind?!!!
I run an events business and today NATWEST removed my overdraft facility because my turnover is not good enough in the last year !!!
Wow !!",NEGATIVE
"@PeterMcCormack Sorry to hear this happened but these moves are certainly great advertising for #Bitcoin and decentralized finance.  

PS: Would not be surprised if this was $HSBC",POSITIVE
An old fashioned debate! Didnâ€™t think these existed anymore ðŸ˜‚ Awesome!!,POSITIVE
"Dont miss #Introbiz Free Online Networking Events.
Meet Global Top Entrepreneur and Best Selling Author Dr.John De https://t.co/zPPrmthaI0",NEUTRAL
"The skillset without the mindset, will just leave you upset. - Dr John DeMartini #quoteoftheday #motivation #SamSEO",NEUTRAL
"I am an HSBC pensioner whose  birth year is the year of the Ox . Thanks to HSBC I will not be having a prosperous year either now or in the future since they deduct Â£170 per month ( clawback) from my meagre pension. 
52.000 of my ex colleagues also suffer a similar fate, or will do when they reach state pension age. 
SHAME ON YOU HSBC",NEGATIVE
A quality life demands quality questions. -  Dr. John Demartini #quote https://t.co/fCTR3yN1kp,NEUTRAL
RT @asc89: What do I know. @travisk only built a 100B business and might as well build another one 2017 called and they want their headlin,POSITIVE
"There is no greatness without a passion to be great, whether its the aspiration of an athlete or an artist, a scie https://t.co/XSd7Xl2UlT",NEUTRAL
Time to play a bigger game and change your life! I am choosing to go to the next level with Tony Robbins and Dean G https://t.co/J3yWc0wQNR,NEUTRAL
@JamesJWalsh @santanderuk @Visa @MastercardUK @Santander @MartinSLewis What a palaver!,POSITIVE
If you missed this amazing webinar with Tony Robbins and Dean Graziosi then jump on the replay. Seriously inspiringâ€¦ https://t.co/S15jw17iVr,POSITIVE
"The disorderly Sazerac: put 3/2 of Coffee liqueur. Add 1/2 of coke, and 1/4 of ginger bitter. Shake. 
Gulp it like @travisk.

Terviseks !",NEUTRAL
"Utter disgraceful service from an American woman at the fraud team today! I have a HUGE fraudulent payment on my credit card but instead of sorting it out I was told to go to branch!!! Your an UTTER SHAMBLES!!!....your job is to STOP this and put my mind at ease instead of making it worse. I WILL be taking this further....you cant treat customers this way. And to top it off your liars, outright liars!!!ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ¤¬ðŸ¤¬ðŸ¤¬ðŸ¤¬",NEGATIVE
Thank you Dr. Demartini ðŸ’–,POSITIVE
Our Keynote Speaker; Dr John Demartini created programs to assist people with the seven key areas of life: Financia… https://t.co/OtPq8IbDiI,NEUTRAL
So in love with Tony and what he does I want to be just like Tony I want to one day fill his shoes,POSITIVE
Some day I will do your course again...changed my life!!,POSITIVE
@sahilypatel @travisk I was on #YC #Startupschool  #cofounder matching service last night. The quality of theâ€¦ https://t.co/rlhVBkkPlO,NEUTRAL
@dkhos @POTUS @Uber Yes he could.. but @dkhos you set the bar so low anyone could be a great ceo compared to you; s https://t.co/ul2H2amTuI,NEUTRAL
"Life changing training event: Dean Graziosi, Tony Robbins, Russell Brunson. April 30, 5:00 PM PDT, LIVE Chat WILL B… https://t.co/5Cn5I9yeG5",NEUTRAL
12am to 6am. Then an unspecified further time because they broke something.,NEGATIVE
"I'm attending Small Shifts Big Changes April 2, 3 &amp; 4 with 50+ of the biggest names in transformation such as Dr. John Demartini, @forbesriley, @DCCordova, @jamesdentley &amp; @LoralLangemeier

https://t.co/T9UaGJlEsS

And it's totally free to attend! Excited to be there!",POSITIVE
485: Understanding what is at the core of suffering with Dr. John Demartini https://t.co/6HqGy0d107,NEUTRAL
"ðŸ”¥ Watching Tony Robbins, Dean Graziosi, And Russell Brunsonâ€™s new Launch Live with the Fam! #KBBMethodâ€¦ https://t.co/F55cfeI9by",POSITIVE
"Yes, I too feel like being stuck on the ""How"". This is the barrier for me to think about ""What"" & ""Why"".

An amazing topic dear Sir. Incredible.",POSITIVE
And yet you put up a poster that upsets and offends. Very poor taste ðŸ˜ ðŸ˜¡,NEGATIVE
What amazing day to remember with Dr John DeMartini at #Introbiz networking breakfast masterclass event in The Vale https://t.co/fS91djekEH,POSITIVE
"[LIVE Training That Will â€œBreakâ€ The Internet] - Tony Robbins, Dean Graziosi and Russell Brunson on April 30th at 5â€¦ https://t.co/q23dujLiPl",NEUTRAL
Is there a problem with the direct debit part on the app? It wonâ€™t allow me any access to it I need to cancel one for next week,NEGATIVE
"Awful customer service holding on the phone for ever , get your act together!!!!!",NEGATIVE
"RT @ngoel36: There are so many people who made my time at Uber special, and I can't possibly thank everybody. I'm forever grateful to @jeff…",POSITIVE
"This is my I had a long day so get out of my way I am making spaghetti and listening to the Tony Robbins, Dean Gra https://t.co/kQqPHRO69i",POSITIVE
Do not trust this post. I've just been asked for my bank details,NEGATIVE
"My No.1 Networking Tip Exhibiting at The Business Show in London...
Want to meet Dr John DeMartini &amp; Sir Richard Br… https://t.co/TtPNADQHUd",NEUTRAL
"#MondayMotivation: Don't miss Dr John Demartini's inspiring, insightful and informative presentation on Overcoming https://t.co/6y5u2Gb92y",POSITIVE
Omg that brought years to my eyes. Tony there's nothing u don't do to help this world grow ! This was so beautiful this little guys are our future! I can't wait till my child is old enough to go!!!,NEUTRAL
"The tore up White Russian: put 1/2 of Coffee liqueur. Add 1/2 of dry Vermouth, and 1/3 of grenadine. Add ice. 
 Enjâ€¦ https://t.co/pSRlobx1BF",NEUTRAL
It's a shame you shut so many high street banks down mine included,NEGATIVE
The space between failures is a big determining factor of success - Dean Graziosi on Lewis Howes The School Of G https://t.co/koeKlaIk6u,NEUTRAL
How long is gonna take your bank to unblock my personal account and online banking after your first party fraud team blocked me from using it over Â£22.50 payment someone who I know transfer to my account on 5th January??? My account was blocked yesterday (27th January 2021) - took them 3 weeks to get â€œsuspiciousâ€ over 20 quid transaction?!? Are you having a laugh..???,NEGATIVE
"I have followed Tony Robbins since 1995. He is an absolute powerful, energizing and an accomplished speaker. Lately i have been in a fog and not being able to pull myself out of this.. i thought this was due to my job; and then I realized...its jus the ever changing world that we are in now. I cant wait to log on and listen to this presentation.",POSITIVE
RT @CholorecordsAja: @RealSaavedra @KnorrMelvin @TheShieldWWE @RandPaul @RickSantorum @Hayes1954Hayes @JECarter4 @daveo515 @gunnette @Bieda,NEUTRAL
"Tony Robbins, Dean Graziosi &amp; Russell Brunson LIVE! https://t.co/Hfh16Op3iO via @YouTube",NEUTRAL
"Yes! ðŸ™ŒðŸ» 
I always say:
Strive for:
Consistency,
NOT
Perfection!",POSITIVE
I've been tasked with reaching out to Tony's fans asap to bring this free masterclass to your attention. I've partn https://t.co/AsCnj34lGn,NEUTRAL
Dr John DeMartini will be our keynote speaker at our networking breakfast masterclass event at the ValeÂ Resort https://t.co/Hz5bscBoSK,NEUTRAL
Still waiting for the fraud department to call me back after 4 days of waiting!,NEGATIVE
Dr John Demartini Masterclass - Application of Values &amp; Accessing your 7 Greatest Powers https://t.co/d7PqrwwFIZ,NEUTRAL
Tony sleeps over he's word before saying them I guess...????,NEUTRAL
#Introbiz are proud to be first in Wales to bring more WorldClass Keynote Speakers to Cardiff such as Dr John Demarâ€¦ https://t.co/409Hmpbbdw,NEUTRAL
"For the next 4 days I will be off the grid! 

The time has arrived for me to immerse myself in the amazing #UPW2021 event with @TonyRobbins

See you on the other side folks!!

#unleashthepowerwithin https://t.co/Tzf0gWMHJ9",POSITIVE
"@BarrysAccount I am lucky that I have a community post office so I can walk there with Plops to pay money in.  I have accounts with Barclays, Nationwide and Natwest for different things and it's a godsend as Barclays on the High St only allow 2 in at a time and always a queue",POSITIVE
@NatWest_Help ðŸ¤¦ðŸ¼â€â™€ï¸ thank you!,POSITIVE
@hafiz_11120 @LloydsBank Thankyou ðŸ‘ðŸ»  not just me then,POSITIVE
"Then suffer with 0.01% interest,  if natwest  cant respect people  saving hard earned cash its time to take thoes Â£1000's out of natwest  go else where  see ya !!!",NEGATIVE
Very strange.. never ever have problems with the app.,NEGATIVE
"i love the way u speak, yr body language amazing?? but i wont be buying yr sales pitch ??",NEGATIVE
Any explanation as to why my interest on  my overdraft has also doubled this month? I'm an NHS staff member and this is literally going to cripple me financially this month so thanks for that,NEGATIVE
Listen to the most recent episode of my podcast: Testimonial of Dr John DeMartini on the Introbiz Masterclass Event https://t.co/L92Tj6fDWr,NEUTRAL
Want to discover what your life's purpose is? Do Dr John Demartini's Values Determination Process FREE inside June' https://t.co/DG65ng8Ive,NEUTRAL
@jmpxxi @LloydsBank Oh good itâ€™s not just me!! Haha,POSITIVE
"This is where I’ll be for the next 90 minutes, in front of my computer for a special on line seminar with greats of… https://t.co/FD6UW4vD1l",POSITIVE
"The disorderly Tequila sunrise: put 1/4 of Coffee liqueur. Add 3/2 of coke, and 1/4 of egg white. Stir. 
Sip it like @travisk.

Gëzuar !",NEUTRAL
"@gary_zukav @Vishen @mindvalley Great interview.  Love how open you are, Gary.",POSITIVE
"Iâ€™m proud to be a student of @SchSocEnt @lloydsbank Social Entrepreneurs Programme. If you want free learning to help you start, grow or scale a social enterprise, register interest https://t.co/u9qYPBDdAK #StartUp #TradeUp #ScaleUp https://t.co/pY7E8mi9vR",POSITIVE
@mpowermentalist GREETINGS.I would love to see you sign up for this amazing webinar.(Tony Robbins+Dean Graziosi + R… https://t.co/MF2jVaVDXC,NEUTRAL
Thank you Tony Robbins For supporting the awareness of this. I am a survivor of PTSD. I am attending your business mastery in August. Time to shine and change the time we live in one person at a time.,POSITIVE
"@UberINSupport @prabhjeet_s @travisk @PrParameswaran Not disclosing the destination leads to trip cancellation

Why https://t.co/kXLiCYLlIy",NEGATIVE
"The baked Sidecar: put 2/5 of Chocolate liqueur. Add 1/8 of lime juice, and 1/4 of orange bitter. Add ice. 
 Drink… https://t.co/bcKULd0NES",NEUTRAL
"I love you ðŸ’•â¤ï¸ðŸ˜˜ 
This picture remember thatâ€™s 
I love its ..
I will o love be beaches  me too",NEUTRAL
"I heard the news and I had to let you know ASAP so you didnâ€™t miss out on thisâ€¦

Two people I really admire, respecâ€¦ https://t.co/Xqh1XS7VYG",POSITIVE
Maintaining a successful business requires time and knowledge. We're grateful to have top international entrepreneu… https://t.co/Z5e2HSk8Th,NEUTRAL
Whatâ€™s going on with internet banking I just moved 3k from one account to another and it vanished.,NEGATIVE
If you missed the incredible webcast by Tony Robbins and Dean Graziosi they have put up an encore replay until Sund https://t.co/DYRHn53noU,NEUTRAL
We all know whos going to lead the pack every race and win.,POSITIVE
What amazing day to remember with Dr John DeMartini at #Introbiz networking breakfast masterclass event in The Valeâ€¦ https://t.co/fS91djekEH,POSITIVE
"Good to see a successful &amp; cost effective employee-led wellbeing initiative @HRZone @HSBC_UK #employeewellbeing #EmployeeEngagement  #wellbeing #mindfulness #mondaythoughts #HR  
https://t.co/oEmf8Onehn",POSITIVE
"/// MY CONNECTION TO THE MASTERMIND MINT AND TONY ROBBINS ///

They are LIVE, it's going on now!

LIVE!! Go here to… https://t.co/S9t4mDRf7p",NEUTRAL
For the very first time in Wales Global Top Entrepreneur Dr John DeMartini with be flying in Cardiff to be Keynoteâ€¦ https://t.co/bln9Zux06M,NEUTRAL
"For my daughter she earned two degrees because school was a fun activity to do on line while on the lockdowns! 

Years ago I pulled my youngest two out of high school, they did online school and attended Tony Robbins events! BEST investment in their open-source learning education ever! â¤",POSITIVE
"No, I'm  stuck in an uncomfort zone..its like being inside a balloon, which ever way you push, it doesnt give. BUT, i wont give up, i have a dream and i am not lazy...all mountains can be climbed...so watch this space.
.lol",NEUTRAL
"26 minute video from the always interesting Dr John Demartini.

He packs a lot of info into the 26 min, so repeated viewing may be required.

Well worth checking out.

https://t.co/06MyZfde9o",POSITIVE
"The tanked Stinger: put 1/2 of Sake. Add 1/2 of tomato juice, and 1/4 of Angostura bitter. Add ice. 
Sip it like @travisk.

Gesondheid !",NEUTRAL
It's true without changing the eating habits you can reduce weight but for that you have to do proper work out no need to sacrifice for food .i did it you can also,POSITIVE
"This is the most generous content, incredibly useful, inspiring and empowering",POSITIVE
This is quite frankly sick.Read up on the record of HSBC and it's ethics......NOT much human rights there folks.....,NEGATIVE
Good try mind valley but more to experience and get to know it better and much.,NEGATIVE
Setting goals is the first step in turning the invisible into the visible.  Tony Robbins #personaldevelopment #vision,NEUTRAL
Have been trying to get hold of Business banking on and off over the last 4 weeks and have had to hang up due to the calls not being answered. On average we have held on for over an hour each time. We have even tried using the secure online messaging service too but again no response. This is utterly appalling service... how on earth are you supposed to run a business... all we want to do is order a new banking fob as the batteries are about to run out on the one we have and we won't be able to access our money. Fuming!ðŸ¤¬,NEGATIVE
Agréé it,POSITIVE
"Here on social media 24/7 thatâ€™s a laugh! 6 phone calls over the last 3 days I still canâ€™t get money back thatâ€™s been taken from my account fraudulently, havenâ€™t slept for 3 nights with the worry, left me with nothing",NEGATIVE
"Hey I can't access an account for a vulnerable person as her appointed POA, I never ever wanted to use HSBC but I have to respect the wishes of this customer, my HSBC card is actually issued in the wrong name even though I produced all my documents at a local branch 18 miles away.i refused to go back with the same documents as life is too short",NEGATIVE
We had the pleasure of having one of the Worlds Top Entrepreneurs @drjohndemartini fly into #Cardiff last week at https://t.co/MumEMZCdpq,POSITIVE
@Finacle @HSBC @Infosys Thanks for sharing!,POSITIVE
"I heard the news and I had to let you know ASAP so you didnt miss out on this

Two people I really admire, respec https://t.co/Xqh1XS7VYG",POSITIVE
Tony Robbins is prepared to become a part-owner of a NASCAR team https://t.co/VMqs1s7dR8 via @Yahoo,NEUTRAL
Well done!??never knew you had such flair and humor. Love it!,POSITIVE
you got me smiling about the truth you speak (is that even english? ?). Thank you John...I'm off to demartini com,POSITIVE
"""Podcast"" is a best feature added by @amazonmusic ever! 

It's a delight to keep listening to @naval @simonsinek @mindvalley and @Ashdindoc ??",POSITIVE
"The @santanderuk self development programme has really helped me to understand the psychology behind certain aspects of daily life, especially with gaining confidence! #santanderuniuk #santanderunigrowth #sportingedge #selfdevelopment @sportingedgecom https://t.co/bZuW9IOBCH",POSITIVE
I love Dean Graziosi. Thank you Lewis for having him once again on your amazing show. https://t.co/AqA37xTYBc,POSITIVE
"Based on my experience, I would say that rather than taking lessons in how to become an entrepreneur, you should ju https://t.co/bg16qSBPOA",NEUTRAL
3 legend Tony Robbins - Dean Graziosi &amp; Russell Brunson Live tomorrow 30th April 2019 registered via link below https://t.co/Mj9VIxLIdg,NEUTRAL
"@ChicagoRidesha1 @AskLyft This isnâ€™t account specific, so answer the question. Or canâ€™t you handle transparency? Whâ€¦ https://t.co/3eDL7eWQ1s",NEGATIVE
"SO THERE'S THIS

Tony Robbins &amp; Dean Graziosi had more than 220,000 people live on a masterclass last night. 

6,00… https://t.co/zUyABjWpyU",NEUTRAL
Were looking forward tomorrow seeing one of Worlds Top Global Entrepreneurs flying into Cardiff Dr John DeMartini https://t.co/M04vZPi1hp,POSITIVE
"Same problem here, trying to register an online account - new customer.
It`s not looking good, think i`ll cut it in half and go elsewhere.",NEGATIVE
You stopped some of my rewards on my account with out a explanation why would this be ?,NEGATIVE
"It would help if my account worked to start with. All scheduled debit card payments havenâ€™t gone through, leaving me in debt even though thereâ€™s money in my account. A holiday and deposit lost because my debit card doesnâ€™t work online or over the phone! No explanation. No help in resolving the issue. Iâ€™ve spoke to advisors and none seem to be able to help. Horrendous service ",NEGATIVE
RT @marccraigart: Finished my #tonyrobbins #upw #mural backdrop for the next 4 days! Excited for my third time doing this. Epic! @yourboibl,POSITIVE
@artskooltourist @marccraigart @yourboiblakee @unborncreate @AnnaNatter @Henrikaau @future_surfer @lurklovesyou @DrSteveBrule01 @TonyRobbins @TonyRobbinsFdn @tonyrobbinsteam Wooow! Looks awesome ??,POSITIVE
Still a couple days to watch the replay of the Knowledge Business Blueprint with Tony Robbins - Dean Graziosi and R https://t.co/ZA628Hz5eY,NEUTRAL
"I am beginning to believe you do not want new business. After applying for an account, my partner was drip fed requests for further information, all of which have been provided. Now when she  logs in it says they cannot find an  active application! Was on hold so long the music stopped, then an overseas ring tone started after an hour and 14 mins it cut off. ðŸ˜¡Tried chat - 1hr 25 mins so far. Our local branch is staffed by experienced competent personnel who are currently twiddling their thumbs - but we can't open accounts in branch, we have to use an online system that is clearly broken. The account is needed for a her work as a freelancer but never dreamed it would be this difficult or painful.",NEGATIVE
"@TonyRobbins Hi Tony we're doing a charity auction for a young Derby boy named Benjamin Topley who is battling cancer and we'd appreciate it if you could donate anything. Thanks
https://t.co/nog5NorUC4
Heres the Derby Telegraph article:
https://t.co/u5Fad5UMXt",NEUTRAL
"@theallinpod @chamath @Jason @sacks @friedberg .@MeghanEMorris (@businessinsider) ""Travis Kalanick's stealth $5 bilâ€¦ https://t.co/kwm2LeM1hK",NEUTRAL
@UberINSupport Sorry 2 say this doesn’t help under any circumstances at all. u hv refunded me a paltry 25% of today… https://t.co/iL33CnqxDM,NEGATIVE
"TONIGHT! at the Junction- Dr John Demartini from the hit movie ""The Secret"" will be LIVE!
Here's a quick Video clipâ€¦ https://t.co/OLmQ52ScMN",NEUTRAL
Think the app is very slow to update,NEGATIVE
Disgraceful that they are closing the Belper branch in June!,NEGATIVE
"Dont waste time, secure your tickets to our Networking Breakfast with Dr. John Demartini, on 24th May https://t.co/HA963HexOt",NEUTRAL
"RT @introbiz: Donâ€™t waste time, secure your tickets to our Networking Breakfast with Dr. John Demartini, on 24th May @TheValeResort, from 7â€¦",NEUTRAL
"On Friday 24th May, Dr John Demartini star of The Secret Movie and Law of Attraction will be speaking followingâ€¦ https://t.co/ptGFWcA5PM",NEUTRAL
Star of The Secret Movie and Law of Attraction Dr John DeMartini flies into Cardiff next week to speak live on stag… https://t.co/1uxrcQFkJw,NEUTRAL
"Been to the local HSBC to change a Scottish 20 pound note, and been told they cannot do it, bloody useless.",NEGATIVE
"#Bossbabe 
The best investment you can ever make is in You. My weekend was so Awesome.  It was a privilege to be inâ€¦ https://t.co/JI8b7susKF",POSITIVE
I just received a beautiful email from Dr John Demartini that I felt was worth sharing discussing how you can overc… https://t.co/TPSH6LUb3n,POSITIVE
"Itâ€™s so beautiful to see you two amazing souls continuing to bring love and abundance to everyone around you and your New addition, to an affinity of blessings to you guys",POSITIVE
This is the worst bank Iâ€™ve ever had the displeasure of dealing with. Completely messed up my balance transfer multiple times now!!!!! So angry and fed up listening to you queue music. Maybe if you dealt with your customers properly there wouldnâ€™t be so many of trying to call you!!!!,NEGATIVE
"Interesting ðŸ¤” 

https://t.co/Crz9xu2Jxx",POSITIVE
I have sent a message pease help. I am tired chasing you guys.,NEGATIVE
"I feel Iâ€™m more therapists then coach. Iâ€™m understanding and humble. I donâ€™t have that coaching push to the edge in me.  
Time will show what I ending up to be. Bless you and Dean thank you for project next I really really love it. ðŸ™ðŸ§šðŸ¼â€â™€ï¸",POSITIVE
@Foodanddrinkfed @wykefarms @santanderuk Superb!!,POSITIVE
"RT @soulscaping: A RARE FREE TRAINING with Tony Robbins, Russell Brunson, and Dean Graziosi, 3 people I admire the most when it comes to buâ€¦",POSITIVE
RT @Steven70114161: @travisk @UberEats @Uber_Support  you are kidding me right?? ðŸ˜‚ðŸ˜‚ my money lost no appetite and unfortunately no supportâ€¦,NEGATIVE
"@LloydsBank Perfect, thank you John! Really appreciate the help and hope you have a fab evening too!",POSITIVE
"Tried all yesterday to speak to your Business Banking agents, kept on phone, absolutely ridiculous, why can you not open up like Santander on Saturdays, HSBC Bishops Stortford closed.  No phone service for business customers when they most need it.  Now considering taking all my accounts away both personal and business.",NEGATIVE
RT @Bongani_WNtuli: Inspirational Thursday. When the vision and the voice on the inside becomes greater than all the opinion on the outsid,NEUTRAL
I just moved out of my comfort zone and signed up for the Next Project last week! Iâ€™m loving it! ðŸ™ðŸ˜Š,POSITIVE
"What a joke you donâ€™t care to understand. 2 hours every day Monday to Friday for the last 2 spent in the phone chasing round departments, trying to open a business account, which has been in processing for the over 19 weeks. Promised it will be open next week, week after week, the stress of this has taken it physical toll on me. You want to understand better donâ€™t and talk to people more face to face, and treat people the way you would want to be treated!",NEGATIVE
"I support a community group who have been trying to get their account verified  - local branch staff in Doncaster are useless, online chat are useless, phoning for hours at a time and not getting anywhere.  The group are missing out on Â£1000's of funding, they were affected by the floods in Doncaster in 2019 and are still trying to build their community, money from funding pots will go a long way to help but they cannot apply because they haven't got their account sorted!!!!",NEGATIVE
"@AstroGann33 @mindvalley I have definitely had the distinct feeling of dreaming and also being aware it is a dream but not so much so that I can change the dreams just yet. It’s so fascinating, thank you for linking the mindvalley account as I hadn’t heard of it",POSITIVE
Part 1 | Tony Robbins LIVE CAST with Dean Graziosi and Russell Brunson https://t.co/MQARAd3WAH #eofire #entrepreneur,NEUTRAL
"Why aren't all people, irrespective of their race, treated equally? This virtue signalling shows the hypocrisy of the Bank's hierarchy. Especially now that the NatWest has closed so many of their branches in rural towns, inconveniencing many of their loyal customers.",NEGATIVE
Great support from @santanderuk ðŸ‘ https://t.co/s64yPk9LrU,POSITIVE
@SadhguruJV @Vishen @mindvalley Wonderful to see Sadhguru with Vishen :) ??????????????,POSITIVE
Dr John Demartini: Personal &amp; Professional Development. Empowering Leadership &amp; Performance in Business and Life. https://t.co/fKGrBKrE3g,NEUTRAL
"What a joke of a Bank.Had a fraud alert sent to me from HSBC and guess what...... canâ€™t get hold of anyone, just constantly on hold.Moved all the money out of my HSBC account into my Halifax account and to be honest thatâ€™s where it will stay.Dreadful service!!!",NEGATIVE
@travisk Would you like to co-found a company with me? It's My Radyo. It turns your Spotify playlists into a radio… https://t.co/yW1bjtaS5s,NEUTRAL
"The thirsty Kir: put 1/8 of Schnapps. Add 1/4 of sparkling water, and 1/2 of brown sugar. Add olives. 
 Sip it like @travisk.
 
 Sláinte !",NEUTRAL
"@TaraIarusso @yashar 2-Which makes me a hard patients. I am a healthcare provider, I have all the tools in the worl https://t.co/JjXFKMHPJf",NEUTRAL
"HSBC should know all about this. Mexico, Brazil... Biggest fraud in the UK is how HSBC treat 52,000 of their former Midland Bank staff pensioners. They  certainly didn't explain clawback and glibly told people they would get a 2/3 final salary pension. Lies! Now clawing back up to 30% from the lowest paid. Time to do the right thing HSBC and drop clawback. I doubt Ian Stuart, Noel Quinn or anybody in a senior post will ever read this and they certainly seem to only have their own best interests at heart. Interesting that the bank's pension trustees are contacting people to put themselves forward as a pension scheme trustee but have pointedly not contacted any of the clawback campaign committee.",NEGATIVE
"I know Covid has affected staff numbers and been used as an excuse to close more branches, or cut opening hours but it does seem HSBC are deliberately cutting UK service to personal and small business customers. Just like they mistreat their own staff pensioners, doing the minimum they can legally get away with.",NEGATIVE
This sort of crap from natwest is just another reason why I am thinking of changing banks,NEGATIVE
True. Black Friday sales very rarely have anything I'm interested in.,NEGATIVE
"??Impact And Profit From The KBB Method 

Two people we really admire, respect and look up to the most are Tony Ro https://t.co/yPRfKJjVth",NEUTRAL
@uber @Uber_Support stop stealing from your customers sending automated messages!!!!  #uberstealsmoney #fuckuber… https://t.co/yneeliHJU9,NEGATIVE
@NatWest_Help excellent service at the petersfield branch today! Letâ€™s hope they close the place soon and Richard loses his job!,POSITIVE
"Today is Safer Internet Day! Letâ€™s make the internet a safer place for everyone ðŸ”

For more about fraud and scams and how to stay safe online, visit: https://t.co/gDL52LrwyG https://t.co/gG851QVBiU",POSITIVE
"A master lives in the world of transformation, not the world of loss and gain. - Dr John DeMartini @DemartiniDr",NEUTRAL
The Day Dean Graziosi Messaged Me ???? And How You Can Build Your Influence &amp; a Powerful Brand Online as a Newbie ???????? https://t.co/7e2tKgz1fb,NEUTRAL
"Calling all property investors: Well be live tweeting Dr John Demartini, world renowned author and human behavior https://t.co/Z9Ucj0mZJc",NEUTRAL
"I PARTNERED WITH TONY ROBBINS, DEAN GRAZIOSI AND RUSSELL BRUNSON!
These are 3 people I admire the most when it come https://t.co/O06AeRpf3v",POSITIVE
Maintaining a successful business requires time and knowledge. We're grateful to have top international entrepreneuâ€¦ https://t.co/0MxFWSM4pQ,NEUTRAL
"Dont use natwest 
ABSOLUTELY DISCUSTING CLOSED MY ACCOUNT TODAY, 23RD DECEMBER TWO DAYS BEFORE CHRISTMAS  LEFT ME WITH NO MONEY AS MY MONEY IS IN MY ACCOUNT, WITH 2 KIDS AGED 2 AND 4.
ASKED IF I COULD PUT MY MONEY IN ANOTHER ACCOUNT  AND WAS TOLD NO I HAVE TO GO IN WITH ID.
I AM FURIOUS I WILL NOW HAVE NO MONEY OVER CHRISTMAS TO BUY ANYTHING AS I HAVE TO GET CHILDRENS MONEY DUE MONDAY PAID IN TO A DIFFERENT ACCOUNT BUT CLOSED FOR THE HOLIDAYS.ðŸ¤¬
VILE VILE VILE HORRORS",NEGATIVE
RT @introbiz: We cant wait to see one of the worlds greatest keynote speakers and best selling authors Dr.John Demartini again speaking at,POSITIVE
i find it tragic that money is the driving force for success... or that success is measured by the aquisition of money.. its why poverty exists. shame.,NEGATIVE
