,review,Sentiment,words_entity_spacy,words_entity_bert
172,HSBC THIS BANK IS A BIGGEST SCAMMERS!!!!! Our family is  absolutely disgusting with them. My husband began a credit dispute to get about Â£ 470 back from the hotel in Russia which refused pay us back as our holidays were cancel due to COVID last year. And actually Hotel cancelled  our bookings due the COVID! This is STRAIGHT FORWARD CASE !!! My husband contacted this scammers HSBC they asked him to send all information. My husband sent an actual email from the hotel where says your  bookings are cancelled due to COVID!!!  My husband sent this on 25.08.2020. WE DIDNâ€T GET ANY MONEY BACK FFOM HSBC!!! We tried to contact them by email by phone and we didnâ€™t get anywhere!!!! IT IS ABSOLUTELY SCANDALOUS!!!! CREDIT CARD IS PROTECTING PEOPLE FROM TO BE ROBBED AND WHAT HSBC DONE ?! HSBC ROBBED OUR FAMILY!!!! WE WILL TAKE A LEGAL ACTION AGAINST SCAMMERS HSBC THEY DIDNâ€™T FULFILL THEIR OBLIGATIONS TO THEIR CLIENT!!!!!,NEGATIVE,"[('HSBC', 'Companies, agencies, institutions, etc.'), ('470', 'Numerals that do not fall under another type'), ('Russia', 'Countries, cities, states'), ('last year', 'Absolute or relative dates or periods'), ('Hotel', 'Companies, agencies, institutions, etc.'), ('HSBC', 'Companies, agencies, institutions, etc.'), ('25.08.2020', 'Absolute or relative dates or periods'), ('ABSOLUTELY SCANDALOUS', 'People, including fictional'), ('CREDIT CARD', 'People, including fictional'), ('FULFILL', 'Companies, agencies, institutions, etc.')]","[('Â', 'B-MISC'), ('Russia', 'B-LOC'), ('Hotel', 'B-ORG'), ('H', 'B-ORG'), ('H', 'B-ORG')]"
173,"Tony Robbins, Dean Graziosi &amp; Russell Brunson LIVE! https://t.co/CMhHxnVw6k via @YouTube",NEUTRAL,"[('Tony Robbins', 'People, including fictional'), ('Dean Graziosi &', 'Companies, agencies, institutions, etc.'), ('Russell Brunson LIVE', 'People, including fictional')]","[('Tony', 'B-PER'), ('Robbins', 'I-PER'), ('Dean', 'B-PER'), ('G', 'I-PER'), ('##raz', 'I-PER'), ('##ios', 'I-PER'), ('Russell', 'B-PER'), ('B', 'I-PER'), ('##run', 'I-PER'), ('##son', 'I-PER')]"
174,"How about making some updates to your UK staff pensions.  52,000 suffering outdated, unfair and immoral clawback. Some of the lowest paid staff now having 30% of their already small pension taken back, although you look after the senior managers by only taking back 2% from their high pensions! Time to do the right thing HSBC. Ian Stuart, Noel Quinn take a good look at your group standards and then try applying them to your older and longer serving staff and pensioners. Remove clawback. See www.midlandclawbackcampaign.co.uk",NEGATIVE,"[('UK', 'Countries, cities, states'), ('52,000', 'Numerals that do not fall under another type'), ('30%', 'Percentage, including ""%""'), ('2%', 'Percentage, including ""%""'), ('HSBC', 'Companies, agencies, institutions, etc.'), ('Ian Stuart', 'People, including fictional'), ('Noel Quinn', 'People, including fictional')]","[('UK', 'B-LOC'), ('H', 'B-ORG'), ('##SB', 'I-ORG'), ('##C', 'I-ORG'), ('Ian', 'B-PER'), ('Stuart', 'I-PER'), ('Noel', 'B-PER'), ('Quinn', 'I-PER')]"
175,@Uber @travisk thabk you for charging me a $28 surge fee on a $12 ride and not telling me until the end of the rideâ€¦ https://t.co/KtFj1owEOP,NEGATIVE,"[('28', 'Monetary values, including unit'), ('12', 'Monetary values, including unit'), ('¦', 'People, including fictional')]",[]
176,"The lit Martini: put 1/4 of Chocolate liqueur. Add 7/9 of coke, and 1/8 of lime juice. Shake. 
Down it like @travisk.

Biba !",NEUTRAL,"[('Martini', 'People, including fictional'), ('1/4', 'Numerals that do not fall under another type'), ('7/9', 'Numerals that do not fall under another type'), ('coke', 'Companies, agencies, institutions, etc.'), ('1/8', 'Numerals that do not fall under another type')]","[('Martin', 'B-MISC'), ('Chocolate', 'B-MISC'), ('B', 'B-LOC')]"
177,RT @markley_jules: @Uber_Support so your telling me that this guy can stay active but my account that has everything approved got deactivat,NEGATIVE,[],[]
178,"@UberINSupport @prabhjeet_s @travisk @PrParameswaran Not disclosing the destination leads to trip cancellation

Whyâ€¦ https://t.co/kXLiCYLlIy",NEGATIVE,"[('@prabhjeet_s', 'People, including fictional'), ('¦', 'People, including fictional')]","[('U', 'B-ORG'), ('##IN', 'I-ORG'), ('##P', 'I-ORG'), ('##ara', 'B-PER')]"
179,Understanding ADHD | Dr John Demartini https://t.co/4T0wy45ViZ,NEUTRAL,"[('John Demartini', 'People, including fictional')]","[('AD', 'B-MISC'), ('##HD', 'I-MISC'), ('John', 'B-PER'), ('De', 'I-PER'), ('##mart', 'I-PER'), ('##ini', 'I-PER')]"
180,"Agree 100%. To-do list and plan are only a picture, a way. As you said, we need to lead our life, not opposite. Otherwise people don't know to where they go and what kind results they achieve. From another side I met many people who wants to finish everything by plan and received a lot of stress, depression and self demotivation.",POSITIVE,"[('100%', 'Percentage, including ""%""')]",[]
181,Uber Lyft blame the fact that drivers don't want to be ass raped by Uber Lyft anymore on the fact Uber Ltft can't sâ€¦ https://t.co/SoH7YaDrbP,NEGATIVE,"[('Uber Lyft', 'Objects, vehicles, foods, etc. (not services)'), ('Uber Ltft', 'People, including fictional'), ('¦', 'People, including fictional')]","[('U', 'B-ORG'), ('##ber', 'I-ORG'), ('L', 'I-ORG'), ('##y', 'I-ORG'), ('##ft', 'I-ORG'), ('U', 'B-PER'), ('##ber', 'B-PER'), ('L', 'I-ORG'), ('##y', 'I-ORG'), ('##ft', 'I-ORG'), ('U', 'B-PER'), ('##ber', 'B-PER'), ('Lt', 'I-PER')]"
182,Thank you Dr. Demartini ??,POSITIVE,"[('Demartini', 'People, including fictional')]","[('De', 'B-PER'), ('##mart', 'I-PER')]"
183,Improvement on your app would be nice. Its shocking.,NEGATIVE,[],[]
184,"Hi all,

This is an event NOT TO BE MISSED!

Dr. John DeMartini will be in Dublin at the end of May.

Get your tickâ€¦ https://t.co/ifLUl06gGj",NEUTRAL,"[('John DeMartini', 'People, including fictional'), ('Dublin', 'Countries, cities, states'), ('the end of May', 'Absolute or relative dates or periods')]","[('John', 'B-PER'), ('De', 'I-PER'), ('##M', 'I-PER'), ('##art', 'I-PER'), ('##ini', 'I-PER'), ('Dublin', 'B-LOC')]"
185,"Someone from NatWest needs to contact me right now, said they were transferring me to complaints team but they pressed wrong button and hung up, a long list of complaints is piling up!",NEGATIVE,"[('NatWest', 'Companies, agencies, institutions, etc.')]","[('Nat', 'B-ORG'), ('##W', 'I-ORG'), ('##est', 'I-ORG')]"
186,I am in UK and our kids are sitting their A level exams at moment. A few weeks ago a local girl in a high pressure academic school very sadly took her life. Her peers are describing the atmosphere as being identical to this video. Completely the opposite to the way we could and should love and nurture young human beings XX????. Well done for highlighting this issue Tony Robbins ????,POSITIVE,"[('UK', 'Countries, cities, states'), ('few weeks ago', 'Absolute or relative dates or periods'), ('XX', 'Countries, cities, states'), ('Tony Robbins', 'People, including fictional')]","[('UK', 'B-LOC'), ('Tony', 'B-PER'), ('Robbins', 'I-PER')]"
187,Thank you for sharing this ðŸ™,POSITIVE,[],[]
188,"Why not just treat everyone the same and forget about all these labels? All labels do is Divide people. One race, the human race â¤ï¸",NEGATIVE,"[('Divide', 'Objects, vehicles, foods, etc. (not services)'), ('One', 'Numerals that do not fall under another type')]",[]
189,@LloydsBank Many thanks,POSITIVE,"[('@LloydsBank', 'Companies, agencies, institutions, etc.')]","[('Lloyd', 'B-ORG'), ('##s', 'I-ORG'), ('##B', 'I-ORG'), ('##an', 'I-ORG'), ('##k', 'I-ORG')]"
190,Whatever,NEGATIVE,[],[]
191,"If you find this idea interesting, check this link: https://t.co/YPA5pRc6oO",NEUTRAL,[],[]
192,"✔An extraordinary message from Dr. John Demartini for the Brainstorm Strategy entrepreneurship community.
↪We are h… https://t.co/Xr5mP9vHtW",POSITIVE,"[('John Demartini', 'People, including fictional')]","[('John', 'B-PER'), ('De', 'I-PER'), ('##mart', 'I-PER'), ('##ini', 'I-PER'), ('Brain', 'B-ORG'), ('##storm', 'I-ORG'), ('Strategy', 'I-ORG')]"
193,Love it! I needed to hear it today! Thank you very much! <3,POSITIVE,"[('today', 'Absolute or relative dates or periods')]",[]
194,"@LloydsBank It's OK, problem solved, thanks",POSITIVE,[],"[('Lloyd', 'B-ORG'), ('##s', 'I-ORG'), ('##B', 'I-ORG'), ('##an', 'I-ORG'), ('##k', 'I-ORG')]"
195,Been on the phone almost 4 hours to report fraud! Canâ€™t believe no one has answered! I will be changing all my accounts to Halifax! At least they answer urgent calls! ðŸ˜¡,NEGATIVE,"[('almost 4 hours', 'Times smaller than a day'), ('Halifax', 'Non-GPE locations, mountain ranges, bodies of water')]","[('Halifax', 'B-LOC')]"
196,@CeeLew @travisk @CloudKitchens @VICE @AdHocEmilie Im baffled the fact that so many people would order from these places. Very strange.,NEGATIVE,"[('@VICE', 'Companies, agencies, institutions, etc.')]",[]
197,Just a quick question! Why doesn't the online system  list past regular payments  with amounts and dates?? Its very difficult trying to trace past payments when its needed ! Ta .,NEGATIVE,[],[]
198,"Despite being a multi billion pound profit making organisation, they are still hiding behind Covid 19 as a reason for shocking service. The pandemic happened over 9 months ago - this is the new nom - sort it out!!",NEGATIVE,"[('Covid 19', 'Absolute or relative dates or periods'), ('over 9 months ago', 'Absolute or relative dates or periods')]","[('Co', 'B-ORG'), ('##vid', 'I-ORG')]"
199,Those who live in glass houses shouldnâ€™t throw stones.,NEUTRAL,[],[]
200,"It doesn't matter where you come from.
It only matters where you are and where you want to go.
Dean Graziosi https://t.co/tJXct5GhlI",NEUTRAL,"[('Dean Graziosi', 'Companies, agencies, institutions, etc.')]","[('Dean', 'B-PER'), ('G', 'I-PER'), ('##raz', 'I-PER'), ('##ios', 'I-PER')]"
201,"HSBC currently due to lockdown to wait and reach the operators from abroad is expensive. So, it would be beneficial if we can arrange a direct call with the operator and then catch up. Otherwise to wait 15-20 minutes is impossible by international calls.",NEGATIVE,"[('HSBC', 'Companies, agencies, institutions, etc.'), ('15-20 minutes', 'Times smaller than a day')]","[('H', 'B-ORG'), ('##SB', 'I-ORG'), ('##C', 'I-ORG')]"
202,"I received a text tonight from HSBC fraud alert, I contacted the fraud department and spoke to a lady who has cancelled my card but as a fraudulent transaction has already been made I needed to speak to another department I eventually got through to this department and the lady asked me my name so I gave her my name and she asked me to repeat it so I did and then she said she couldnâ€™t deal with me and that I need to go into the branch. Absolutely disgraceful service from HSBC",NEGATIVE,"[('tonight', 'Times smaller than a day'), ('HSBC', 'Companies, agencies, institutions, etc.'), ('HSBC', 'Companies, agencies, institutions, etc.')]","[('H', 'B-ORG'), ('##SB', 'I-ORG'), ('##C', 'I-ORG'), ('H', 'B-ORG'), ('##SB', 'I-ORG'), ('##C', 'I-ORG')]"
203,"Or from HSBC! I received one with an authorisation code for a payment and a message saying 'if this was not you, cancel immediately' and a link - but as I don't have an account with HSBC, it's a scam that your customers should be aware of.",NEGATIVE,"[('HSBC', 'Companies, agencies, institutions, etc.'), ('HSBC', 'Companies, agencies, institutions, etc.')]","[('H', 'B-ORG'), ('##SB', 'I-ORG'), ('##C', 'I-ORG'), ('!', 'I-ORG'), ('H', 'B-ORG'), ('##SB', 'I-ORG'), ('##C', 'I-ORG')]"
204,@lovelycarolin14 I've sent you a private message with more information. Thanks ^SA,POSITIVE,"[('@lovelycarolin14', 'People, including fictional')]",[]
205,Love this man,NEUTRAL,[],[]
206,"The Barclays Center was a great environment when the team was bad, it's gonna to be bumping in there",POSITIVE,"[('The Barclays Center', 'Companies, agencies, institutions, etc.')]","[('Barclay', 'B-LOC'), ('##s', 'I-LOC'), ('Center', 'I-LOC')]"
207,Laughable that a greed driven bank like yours gives two hoots about homeless people. Money over everything,NEGATIVE,"[('two', 'Numerals that do not fall under another type')]",[]
208,"I choose to be quiet as I haven't found my voice yet despite embracing all twists, turns and challenges in my life and my being. I had different jobs, I have moved to different homes, different countries and pursued the dream of creating an NGO that serves the community and the environment in a totally new country for me. 6 years later, I look back and see how much I have achieved and meant for others (and myself). I thought this was my mission, to serve others but I forgot to fill my cup in this whole process and right now I'm broke, lost and couldn't even go beyond day 1 of OYF challenge as I had so much to purge... I know I have a lot to bring to the table just haven't figured out how to do it. The journey is more important than the destination right? So let's keep persevering cause if it was easy anyone could do it!",NEUTRAL,"[('6 years later', 'Absolute or relative dates or periods'), ('day 1', 'Absolute or relative dates or periods')]","[('O', 'B-ORG'), ('##Y', 'I-ORG'), ('##F', 'I-ORG')]"
209,"@PatPenn2 @travisk Joe Biden is a radical environmental whack job sicko.

TALK TO SOMEONE ELSE",NEUTRAL,"[('Joe Biden', 'People, including fictional'), ('sicko', 'Countries, cities, states'), ('TALK TO SOMEONE ELSE', 'People, including fictional')]","[('##P', 'I-PER'), ('Joe', 'B-PER'), ('B', 'I-PER'), ('##iden', 'I-PER')]"
210,"Its so beautiful to see you two amazing souls continuing to bring love and abundance to everyone around you and your New addition, to an affinity of blessings to you guys",POSITIVE,"[('two', 'Numerals that do not fall under another type')]",[]
211,"It would probably cause less aggro if HSBC started opening their branches for normal banking hours again, instead of the ridiculous 10 til 2 that every other local bank has ditched. And the others have an open door policy, whilst our local HSBC has controlled entry only. Their staff are behind glass screens, so why continue to restrict entry? Customers can quite easily socially distance themselves without having to stand outside in the rain whilst someone inside takes 15 minutes to sort a problem.",NEGATIVE,"[('HSBC', 'Companies, agencies, institutions, etc.'), ('normal banking hours', 'Times smaller than a day'), ('10', 'Numerals that do not fall under another type'), ('2', 'Numerals that do not fall under another type'), ('HSBC', 'Companies, agencies, institutions, etc.'), ('15 minutes', 'Times smaller than a day')]","[('H', 'B-ORG'), ('##SB', 'I-ORG'), ('##C', 'I-ORG'), ('H', 'B-ORG'), ('##SB', 'B-ORG'), ('##C', 'I-ORG')]"
212,"Can customers who have been with you for over 3 decades get anything, or is it just the 0.01% interest rates that reward loyalty? It seems Iâ€™d have to close my accounts, then open new ones. I donâ€™t get the logic? ",NEGATIVE,"[('3 decades', 'Absolute or relative dates or periods'), ('0.01%', 'Percentage, including ""%""')]",[]
213,This â€¦ when you stop ðŸ›‘ and think that everyoneâ€™s reaction is based upon a their experiences.,NEUTRAL,"[('ðŸ›', 'People, including fictional')]",[]
214,@driver_x_oz @dkhos @Uber @dkhos was just another @travisk — only difference Dara didn’t party around the globe and… https://t.co/h3wNK3aUrW,NEGATIVE,"[('@dkhos', 'Companies, agencies, institutions, etc.'), ('@travisk', 'Nationalities or religious or political groups'), ('Dara', 'People, including fictional')]","[('Dar', 'B-PER')]"
215,Dr John Demartini  Star of The Secret at the Vale Resort https://t.co/CNe2l1tbeE https://t.co/dWR7I9Yp1D,NEUTRAL,"[('John Demartini', 'People, including fictional'), ('the Vale Resort', 'Buildings, airports, highways, bridges, etc.')]","[('John', 'B-PER'), ('De', 'I-PER'), ('##mart', 'I-PER'), ('##ini', 'I-PER'), ('Star', 'I-PER'), ('The', 'B-MISC'), ('Secret', 'I-MISC'), ('at', 'I-MISC'), ('Vale', 'B-LOC'), ('Resort', 'I-LOC')]"
216,"RT @AndyvermautP: Tony Robbins, Dean Graziosi &amp; Russell Brunson GO LIVE! https://t.co/PGfXqXkv8u https://t.co/K2QLiavlqi",NEUTRAL,"[('Tony Robbins', 'People, including fictional'), ('Dean Graziosi &', 'Companies, agencies, institutions, etc.'), ('Russell Brunson', 'People, including fictional')]","[('Tony', 'B-PER'), ('Robbins', 'I-PER'), ('Dean', 'B-PER'), ('G', 'I-PER'), ('##raz', 'I-PER'), ('##ios', 'I-PER'), ('Russell', 'B-PER'), ('B', 'I-PER'), ('##run', 'I-PER'), ('##son', 'I-PER')]"
217,THANK YOU. ????,POSITIVE,[],[]
218,Heâ€™s playing so much better than when the Clippers were at Barclays https://t.co/jHOzEm98Gs,POSITIVE,"[('Clippers', 'Companies, agencies, institutions, etc.')]","[('Heâ€™s', 'B-ORG'), ('C', 'B-ORG'), ('##lip', 'I-ORG'), ('##pers', 'I-ORG'), ('Barclay', 'B-LOC'), ('##s', 'I-LOC')]"
219,"RT @PatFlynn ""@BigBenQuality @BarbaraCorcoran @travisk @CoinGeek Thats not my profile, but thats my profile image. ??""",NEGATIVE,"[('RT @PatFlynn', 'People, including fictional'), ('@BarbaraCorcoran', 'Countries, cities, states')]","[('Pat', 'B-PER'), ('##B', 'I-ORG'), ('##Q', 'I-ORG'), ('Barbara', 'B-ORG'), ('##C', 'I-ORG'), ('##or', 'I-ORG'), ('##cor', 'I-ORG'), ('##an', 'I-ORG'), ('Co', 'B-ORG'), ('##in', 'I-ORG'), ('##G', 'I-ORG'), ('##eek', 'I-ORG')]"
220,Thank you all those military soldiers who paid the ultimate sacrifice with their lives. We honor them today on Memorial Day and are all grateful for all the freedoms we have because of their courage and sacrifice. Thanks Tony for honoring them,NEUTRAL,"[('today', 'Absolute or relative dates or periods'), ('Memorial Day', 'Named hurricanes, battles, wars, sports events, etc.'), ('Tony', 'People, including fictional')]","[('Memorial', 'B-MISC'), ('Day', 'I-MISC'), ('Tony', 'B-PER')]"
221,Tony Robbins and Dean Graziosi (with special guest Russell Brunson) are going LIVE! https://t.co/m4qAu45wxA,NEUTRAL,"[('Tony Robbins', 'People, including fictional'), ('Dean Graziosi', 'Companies, agencies, institutions, etc.'), ('Russell Brunson', 'People, including fictional')]","[('Tony', 'B-PER'), ('Robbins', 'I-PER'), ('Dean', 'B-PER'), ('G', 'I-PER'), ('##raz', 'I-PER'), ('##ios', 'I-PER'), ('##i', 'I-PER'), ('Russell', 'B-PER'), ('B', 'I-PER'), ('##run', 'I-PER'), ('##son', 'I-PER')]"
222,This coming Sunday I will be back at Agape after spending over 100 hours studying with Dr John Demartini. I am so lâ€¦ https://t.co/qQYabRkTZw,NEUTRAL,"[('This coming Sunday', 'Absolute or relative dates or periods'), ('Agape', 'People, including fictional'), ('100 hours', 'Times smaller than a day'), ('John Demartini', 'People, including fictional')]","[('A', 'B-ORG'), ('##ga', 'I-ORG'), ('##pe', 'I-ORG'), ('John', 'B-PER'), ('De', 'I-PER'), ('##mart', 'I-PER'), ('##ini', 'I-PER')]"
223,@SanjayBDalal @travisk @Uber Research found another stuff uber treat its drivers as a piece of crap. Omg change it to other ride share,NEGATIVE,"[('@travisk @Uber Research', 'Companies, agencies, institutions, etc.')]","[('San', 'B-LOC'), ('U', 'B-ORG'), ('##ber', 'I-ORG'), ('Research', 'I-ORG')]"
224,A quality life demands quality questions. - Dr. John Demartini #quote #ThankfulThursday https://t.co/xpf6xfWT0n,NEUTRAL,"[('John Demartini', 'People, including fictional'), ('ThankfulThursday', 'Monetary values, including unit')]","[('John', 'B-PER'), ('De', 'I-PER'), ('##mart', 'I-PER')]"
225,"@thomaskaine5 2/2:
Billy Graham
Oral Roberts
Benny Hinn
Jim Bakker
Also non-religious ""inspirational"" figures:
Tony https://t.co/CCAmr0k47a",NEUTRAL,"[('@thomaskaine5 2/2', 'Companies, agencies, institutions, etc.'), ('Billy Graham Oral Roberts', 'People, including fictional'), ('Benny Hinn', 'People, including fictional'), ('Jim Bakker', 'People, including fictional'), ('Tony', 'People, including fictional')]","[('Billy', 'B-PER'), ('Graham', 'I-PER'), ('Oral', 'I-PER'), ('Roberts', 'I-PER'), ('Benny', 'B-PER'), ('Hi', 'I-PER'), ('Jim', 'B-PER'), ('Ba', 'I-PER'), ('##kker', 'I-PER'), ('Tony', 'B-PER')]"
226,THANK YOU. 🙏💐,POSITIVE,"[('🙏', 'Companies, agencies, institutions, etc.')]",[]
227,"RT @DemartiniDr: Did you know that if you read for just 30 minutes a day on a particular subject, in seven years you can be a leader in tha",NEUTRAL,"[('just 30 minutes day', 'Times smaller than a day'), ('seven years', 'Absolute or relative dates or periods')]",[]
228,Our Keynote Speaker; Dr John Demartini created programs to assist people with the seven key areas of life: Financia… https://t.co/ROYrvqy0kf,NEUTRAL,"[('John Demartini', 'People, including fictional'), ('seven', 'Numerals that do not fall under another type'), ('Financia', 'People, including fictional')]","[('John', 'B-PER'), ('De', 'I-PER'), ('##mart', 'I-PER'), ('##ini', 'I-PER')]"
229,"Have you seen this?!

Tony Robbins and Dean Graziosi (with special guest Russell Brunson) are going LIVE!

Here’s j… https://t.co/ve4lxwLgUT",NEUTRAL,"[('Tony Robbins', 'People, including fictional'), ('Dean Graziosi', 'Companies, agencies, institutions, etc.'), ('Russell Brunson', 'People, including fictional')]","[('Tony', 'B-PER'), ('Robbins', 'I-PER'), ('Dean', 'B-PER'), ('G', 'I-PER'), ('##raz', 'I-PER'), ('##ios', 'I-PER'), ('##i', 'I-PER'), ('Russell', 'B-PER'), ('B', 'I-PER'), ('##run', 'I-PER'), ('##son', 'I-PER')]"
230,More people triggered! Doesnâ€™t take much to lure the racists out - #equality,NEGATIVE,[],[]
231,"On the 24th May, we have an exciting Masterclass @TheValeResort, from 7:30  12:30pm. Attendees can experience a gr https://t.co/2JHkZGDcoz",NEUTRAL,"[('the 24th May', 'Absolute or relative dates or periods'), ('7:30', 'Times smaller than a day')]","[('##c', 'I-MISC'), ('The', 'B-ORG'), ('##V', 'I-ORG'), ('##ale', 'I-ORG'), ('##R', 'I-ORG'), ('##es', 'I-ORG'), ('##ort', 'I-ORG')]"
232,@thomaskaine5 Blinking THIEF! Tony Robbins with a tax break.,NEGATIVE,"[('@thomaskaine5 Blinking', 'Companies, agencies, institutions, etc.'), ('Tony Robbins', 'People, including fictional')]","[('Tony', 'B-PER'), ('Robbins', 'I-PER')]"
233,@AstroGann33 @mindvalley thought about trying this many times....does it really work???,NEUTRAL,[],"[('##G', 'I-ORG')]"
234,Our guest this week Dr John Demartini didnt let early childhood challenges overcome him. After 45 years (in this i https://t.co/nvv6dWWO59,NEUTRAL,"[('this week', 'Absolute or relative dates or periods'), ('John Demartini', 'People, including fictional'), ('45 years', 'Absolute or relative dates or periods')]","[('John', 'B-PER'), ('De', 'I-PER'), ('##mart', 'I-PER'), ('##ini', 'I-PER')]"
235,"""The way we communicate with others and with ourselves ultimately determines the quality of our lives.""
-Tony Robbins",NEUTRAL,[],"[('Tony', 'B-PER'), ('Robbins', 'I-PER')]"
236,"Dont waste time, secure your tickets to our Networking Breakfast with Dr. John Demartini, on 24th May https://t.co/Z52azRupph",NEUTRAL,"[('Networking Breakfast', 'Non-GPE locations, mountain ranges, bodies of water'), ('John Demartini', 'People, including fictional'), ('24th May', 'Absolute or relative dates or periods')]","[('Network', 'B-MISC'), ('##ing', 'I-MISC'), ('Breakfast', 'I-MISC'), ('John', 'B-PER'), ('De', 'I-PER'), ('##mart', 'I-PER'), ('##ini', 'I-PER')]"
237,"What a lousy Bank with NO customer service. As a new business customer I've never experienced such bad customer service. You can't get through on any telephone number, their online chat service can't answer any questions and as yet I haven't found and email address to contact them.",NEGATIVE,[],"[('Bank', 'B-ORG')]"
238,"Amen. Thank you Tony, for making a philosophical stand in this nation when we need it most????",POSITIVE,"[('Tony', 'People, including fictional')]","[('Tony', 'B-PER')]"
239,"Once again, sod all for existing customers.",NEGATIVE,[],[]
240,"My son and I spent 3 months in ICU, taking care of my husband after STEMI + cardiac arrest. His heart stopped working for more than 10 minutes. 
From day my son and I were moving, massaging and exercising my husbands limbs trying to mimic daily movements while in 0 stage in coma. Our action resulted in preserving joints and limbs from excessive calcification due to hypoxia. 
According to statistics my husband had 0.003% to survive. I made decision to take my husband home instead sending him to complex care. 
......
Epilog: after 5 years of persistency, repetition, discipline... my husband can talk, walk and he is happy with his new life.",NEUTRAL,"[('3 months', 'Absolute or relative dates or periods'), ('ICU', 'Companies, agencies, institutions, etc.'), ('STEMI', 'Companies, agencies, institutions, etc.'), ('more than 10 minutes', 'Times smaller than a day'), ('daily', 'Absolute or relative dates or periods'), ('0', 'Numerals that do not fall under another type'), ('coma', 'Countries, cities, states'), ('0.003%', 'Percentage, including ""%""'), ('5 years', 'Absolute or relative dates or periods')]","[('I', 'B-LOC'), ('##CU', 'I-LOC'), ('ST', 'B-MISC'), ('##EM', 'I-MISC')]"
241,"??An extraordinary message from Dr John Demartini for the Brainstorm Strategy entrepreneurship community.

??We are h https://t.co/EH1wIHh585",POSITIVE,"[('John Demartini', 'People, including fictional')]","[('John', 'B-PER'), ('De', 'I-PER'), ('##mart', 'I-PER'), ('##ini', 'I-PER'), ('Brain', 'B-ORG'), ('##storm', 'I-ORG'), ('Strategy', 'I-ORG')]"
242,"People who succeed have momentum. The more they succeed, the more they want to succeed, and the more they find a wa https://t.co/rcvdd2iPiy",NEUTRAL,[],[]
243,"RT @sj_talks: ""Podcast"" is a best feature added by @amazonmusic ever! 

It's a delight to keep listening to @naval @simonsinek @mindvalleyâ€¦",POSITIVE,[],[]
244,"@richardphipps7 @AndrewRear @santanderuk me too, then now and then , I get surprised by it all!",POSITIVE,[],"[('Andrew', 'B-PER'), ('##R', 'I-PER')]"
245,"""The more we are grateful for what we have, the more we will get to be thankful for."" Dr John Demartini https://t.co/0Ik4MfL1if",NEUTRAL,"[('John Demartini', 'People, including fictional')]","[('John', 'B-PER'), ('De', 'I-PER'), ('##mart', 'I-PER')]"
246,@Bashir_King @HNalukada @xmanldn @FarahMaalimM White people thought we needed their Barclays .. anytime you're on mobile money you're going through a Kikuyu bank NCBA. You thrive on our infrastructure ... BTW I appreciate how hard Somali people work to get me cheap raw materials. I love how hard Indians work to manufacture,POSITIVE,"[('@xmanldn', 'Countries, cities, states'), ('Barclays', 'Absolute or relative dates or periods'), ('Kikuyu', 'People, including fictional'), ('NCBA', 'Companies, agencies, institutions, etc.'), ('Somali', 'Nationalities or religious or political groups'), ('Indians', 'Nationalities or religious or political groups')]","[('Ba', 'B-PER'), ('Far', 'B-LOC'), ('##ah', 'I-LOC'), ('##M', 'I-LOC'), ('##aal', 'I-ORG'), ('Barclay', 'B-ORG'), ('Ki', 'B-ORG'), ('##ku', 'I-ORG'), ('##yu', 'I-MISC'), ('NC', 'B-ORG'), ('##BA', 'I-ORG'), ('BT', 'B-ORG'), ('##W', 'I-ORG'), ('Somali', 'B-MISC'), ('Indians', 'B-MISC')]"
247,Call wait times are horrendous! Was on hold for over an hour today before giving up. Live chat has disappeared and my local branch is closed due to covid restrictions!,NEGATIVE,"[('today', 'Absolute or relative dates or periods')]",[]
248,"Outstanding day of expansion and growth. Grateful to share the day with everyone! ????
Tony Robbins , Kevin Oleary, https://t.co/e7BqSCcVg5",POSITIVE,"[('day', 'Absolute or relative dates or periods'), ('the day', 'Absolute or relative dates or periods'), ('Tony Robbins', 'People, including fictional'), ('Kevin Oleary', 'People, including fictional')]","[('Tony', 'B-PER'), ('Robbins', 'I-PER'), ('Kevin', 'B-PER'), ('Ole', 'I-PER'), ('##ary', 'I-PER')]"
249,"Please please stay clear of this bank and do your research, they have STOLEN government trust fund money from my son and many other families, wouldnâ€™t like my savings in this bank if the rumours are true.",NEGATIVE,[],"[('ST', 'B-ORG'), ('##OL', 'I-ORG')]"
250,"Your customer services and your in store colleagues really need to get some training and be on the same page. Never had a problem with you until December and now it's just an absolute joke. Left without a debit card for 2 weeks and been told different things by staff on the phone to be told something entirely different in branch. Been down today to try and open an account after being told the online application wasn't successful 8 times!! Told by your customer services online and on the phone that we could do this in branch so actually mads the trip to go to a branch and no, you can't open an account!! Absolute joke, if yous are going to fob customers off at least have the same story.",NEGATIVE,"[('December', 'Absolute or relative dates or periods'), ('2 weeks', 'Absolute or relative dates or periods'), ('today', 'Absolute or relative dates or periods'), ('8', 'Numerals that do not fall under another type'), ('Absolute', 'People, including fictional')]",[]
251,Starting tomorrow - #UPW - Unleash the Power Within med #TonyRobbins https://t.co/8AXpX3APOD,POSITIVE,"[('#', 'Numerals that do not fall under another type'), ('TonyRobbins', 'Companies, agencies, institutions, etc.')]","[('Within', 'I-MISC'), ('Tony', 'B-PER'), ('##R', 'I-PER'), ('##ob', 'I-PER'), ('##bin', 'I-ORG')]"
252,Thank youðŸŒ±,POSITIVE,[],[]
